"cowcode","location","asciiname","longitude","latitude","event_date","side","numreports","max_scope","max_partviolence","max_secengagement","mean_avg_numparticipants","any_accessible","blocked","ooni_ratio","ooni","ioda_number","ioda","physical","year","imf_democ_exp","imf_autoc_exp","imf_democ_imp","imf_autoc_imp","imf_democ_trade","imf_autoc_trade","All_NGO","Global_NGO","National_ngo","gdp","tourism","military","oil","oda","remittances","filter_cap","shut_cap"
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2018-10-17,1,2,0,2,2,NA,NA,NA,NA,NA,0,0,1,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2018-11-23,1,1,0,1,2,NA,NA,NA,NA,NA,0,0,1,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-02-02,1,1,0,3,1,2000,NA,NA,NA,NA,0,0,0,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-02-08,1,1,0,1,2,2000,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-02-10,1,2,0,3,2,200,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-02-13,1,2,0,3,2,1100,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-05-30,1,1,0,1,2,25,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-06-10,1,3,0,3,2,2000,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-06-13,1,1,0,1,2,2000,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-09-23,1,2,0,2,2,200,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
